path,line,variable_name_or_match,radius_or_diameter,units,physical_meaning,status,downstream_outputs
run_analysis.py,15,"blowout_radius_microns,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,54,"blowout_sizes = [blowout_radius_microns(s[""luminosity_solar""], s[""stellar_mass_solar""]) for s in sam",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,64,"(""radiation_blowout_radius"", blowout_sizes, ""micron; compact-grain model""),",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,107,"blowout_diameter = 2.0 * values[""radiation_blowout_radius""][0]",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,108,minimum_to_blowout_diameter_ratio = 15.0 / blowout_diameter,diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,109,blowout_to_minimum_diameter_ratio = blowout_diameter / 15.0,diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,142,"width, grain size, and temperature all affect the output.",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,171,"emissivity, composition, and grain-size distribution dominate the physical uncertainty.",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,175,"The propagated blowout **radius** is {values[""radiation_blowout_radius""][0]:.3f} μm",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,178,{blowout_diameter:.3f} μm. It is not an observed grain size. Lawler et al.'s preferred,diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
