canonical_id,HIP,survey,spectral_class,distance_pc,stellar_mass_Msun,stellar_age_Gyr,age_uncertainty,detected,fractional_luminosity,fractional_luminosity_error,upper_limit,temperature_assumption,source_row,overlap_resolution,eligibility_flag,exclusion_reason
HIP 108870,108870,DUNES,K,3.62,,3.66,,False,,,-6.355975455472125,20-100 K grid; beta=1 lambda0=210 um,108870,DUNES strict input,True,
HIP 109422,109422,DUNES,F,18.28,,3.53,,False,,,-5.965295408457134,20-100 K grid; beta=1 lambda0=210 um,109422,DUNES strict input,True,
HIP 110109,110109,DUNES,G,13.79,,5.09,,False,,,-5.884806885828327,20-100 K grid; beta=1 lambda0=210 um,110109,DUNES strict input,True,
HIP 113357,113357,DUNES,G,15.61,,7.98,,False,,,-5.580903764858977,20-100 K grid; beta=1 lambda0=210 um,113357,DUNES strict input,True,
HIP 114948,114948,DUNES,F,20.54,,0.38,,True,-4.507339980668884,0.09862557031727438,,20-100 K grid; beta=1 lambda0=210 um,114948,DUNES strict input,True,
HIP 116745,116745,DUNES,K,11.42,,3.44,,False,,,-5.589954286772826,20-100 K grid; beta=1 lambda0=210 um,116745,DUNES strict input,True,
HIP 120005,120005,DUNES,K,6.39,,1.01,,False,,,-5.661905182220825,20-100 K grid; beta=1 lambda0=210 um,120005,DUNES strict input,True,
HIP 72567,72567,DUNES,G,18.17,,0.19,,False,,,-5.887288635783678,20-100 K grid; beta=1 lambda0=210 um,72567,DUNES strict input,True,
HIP 72603,72603,DUNES,F,22.98,,1.01,,False,,,-6.38896471181633,20-100 K grid; beta=1 lambda0=210 um,72603,DUNES strict input,True,
HIP 72848,72848,DUNES,K,11.51,,0.69,,True,-5.48323767514903,0.18168048332872602,,20-100 K grid; beta=1 lambda0=210 um,72848,DUNES strict input,True,
HIP 73100,73100,DUNES,F,25.11,,7.16,,True,-5.685231402174323,0.1242060341960851,,20-100 K grid; beta=1 lambda0=210 um,73100,DUNES strict input,True,
HIP 73182,73182,DUNES,K,5.93,,5.4,,False,,,-5.163594080927808,20-100 K grid; beta=1 lambda0=210 um,73182,DUNES strict input,True,
HIP 73184,73184,DUNES,K,5.84,,4.74,,False,,,-6.001047649695039,20-100 K grid; beta=1 lambda0=210 um,73184,DUNES strict input,True,
HIP 73996,73996,DUNES,F,19.55,,3.95,,False,,,-6.055607278497729,20-100 K grid; beta=1 lambda0=210 um,73996,DUNES strict input,True,
HIP 77052,77052,DUNES,G,14.66,,3.2,,False,,,-5.900621868770106,20-100 K grid; beta=1 lambda0=210 um,77052,DUNES strict input,True,
HIP 78459,78459,DUNES,G,17.24,,7.33,,False,,,-5.9929549830129325,20-100 K grid; beta=1 lambda0=210 um,78459,DUNES strict input,True,
HIP 78775,78775,DUNES,G,14.52,,6.04,,False,,,-5.630109974505639,20-100 K grid; beta=1 lambda0=210 um,78775,DUNES strict input,True,
HIP 79248,79248,DUNES,K,17.57,,7.45,,False,,,-5.728637495975631,20-100 K grid; beta=1 lambda0=210 um,79248,DUNES strict input,True,
HIP 80725,80725,DUNES,K,19.66,,1.89,,False,,,-5.629884486833017,20-100 K grid; beta=1 lambda0=210 um,80725,DUNES strict input,True,
HIP 82860,82860,DUNES,F,15.26,,2.39,,False,,,-6.009854254858761,20-100 K grid; beta=1 lambda0=210 um,82860,DUNES strict input,True,
HIP 83389,83389,DUNES,G,18.59,,3.84,,False,,,-5.725120372267476,20-100 K grid; beta=1 lambda0=210 um,83389,DUNES strict input,True,
HIP 84862,84862,DUNES,G,14.33,,5.91,,False,,,-5.8624820587287,20-100 K grid; beta=1 lambda0=210 um,84862,DUNES strict input,True,
HIP 85235,85235,DUNES,K,12.8,,5.31,,True,-4.794710079761238,0.1027658090322454,,20-100 K grid; beta=1 lambda0=210 um,85235,DUNES strict input,True,
HIP 85295,85295,DUNES,K,7.7,,2.3,,False,,,-5.269108309565576,20-100 K grid; beta=1 lambda0=210 um,85295,DUNES strict input,True,
HIP 86036,86036,DUNES,G,14.19,,1.89,,False,,,-6.1356795561118425,20-100 K grid; beta=1 lambda0=210 um,86036,DUNES strict input,True,
HIP 86796,86796,DUNES,G,15.51,,15.0,,False,,,-6.0051056059863015,20-100 K grid; beta=1 lambda0=210 um,86796,DUNES strict input,True,
HIP 88601,88601,DUNES,K,5.08,,1.05,,False,,,-6.2690360982183515,20-100 K grid; beta=1 lambda0=210 um,88601,DUNES strict input,True,
HIP 88972,88972,DUNES,K,11.02,,5.76,,False,,,-5.72768334264738,20-100 K grid; beta=1 lambda0=210 um,88972,DUNES strict input,True,
HIP 171,171,DUNES,G,12.17,,3.96,,True,-5.9974117990683835,0.11253943973931368,,20-100 K grid; beta=1 lambda0=210 um,171,DUNES strict input,True,
HIP 544,544,DUNES,K,13.67,,0.17,,True,-4.214223617416219,0.0915021891014646,,20-100 K grid; beta=1 lambda0=210 um,544,DUNES strict input,True,
HIP 910,910,DUNES,F,18.75,,3.04,,False,,,-5.861095469479563,20-100 K grid; beta=1 lambda0=210 um,910,DUNES strict input,True,
HIP 2941,2941,DUNES,K,15.4,,4.83,,False,,,-5.762619980473408,20-100 K grid; beta=1 lambda0=210 um,2941,DUNES strict input,True,
HIP 3093,3093,DUNES,K,11.06,,6.43,,False,,,-5.844222769237878,20-100 K grid; beta=1 lambda0=210 um,3093,DUNES strict input,True,
HIP 3497,3497,DUNES,G,22.06,,4.0,,False,,,-5.490620981621059,20-100 K grid; beta=1 lambda0=210 um,3497,DUNES strict input,True,
HIP 3821,3821,DUNES,G,5.95,,6.43,,False,,,-6.618332621924283,20-100 K grid; beta=1 lambda0=210 um,3821,DUNES strict input,True,
HIP 3909,3909,DUNES,F,15.75,,2.93,,False,,,-5.907079946741883,20-100 K grid; beta=1 lambda0=210 um,3909,DUNES strict input,True,
HIP 4148,4148,DUNES,K,14.17,,3.64,,True,-5.162272927658945,0.08014234062468664,,20-100 K grid; beta=1 lambda0=210 um,4148,DUNES strict input,True,
HIP 7513,7513,DUNES,F,13.49,,7.26,,False,,,-6.184855540212437,20-100 K grid; beta=1 lambda0=210 um,7513,DUNES strict input,True,
HIP 7978,7978,DUNES,F,17.43,,1.74,,True,-3.4794843040685532,0.09515878374965074,,20-100 K grid; beta=1 lambda0=210 um,7978,DUNES strict input,True,
HIP 8768,8768,DUNES,K,11.01,,2.03,,False,,,-5.158850580302822,20-100 K grid; beta=1 lambda0=210 um,8768,DUNES strict input,True,
