canonical_id,resolution,duplicate
HIP 108870,no DEBRIS merge in restricted input,False
HIP 109422,no DEBRIS merge in restricted input,False
HIP 110109,no DEBRIS merge in restricted input,False
HIP 113357,no DEBRIS merge in restricted input,False
HIP 114948,no DEBRIS merge in restricted input,False
HIP 116745,no DEBRIS merge in restricted input,False
HIP 120005,no DEBRIS merge in restricted input,False
HIP 72567,no DEBRIS merge in restricted input,False
HIP 72603,no DEBRIS merge in restricted input,False
HIP 72848,no DEBRIS merge in restricted input,False
HIP 73100,no DEBRIS merge in restricted input,False
HIP 73182,no DEBRIS merge in restricted input,False
HIP 73184,no DEBRIS merge in restricted input,False
HIP 73996,no DEBRIS merge in restricted input,False
HIP 77052,no DEBRIS merge in restricted input,False
HIP 78459,no DEBRIS merge in restricted input,False
HIP 78775,no DEBRIS merge in restricted input,False
HIP 79248,no DEBRIS merge in restricted input,False
HIP 80725,no DEBRIS merge in restricted input,False
HIP 82860,no DEBRIS merge in restricted input,False
HIP 83389,no DEBRIS merge in restricted input,False
HIP 84862,no DEBRIS merge in restricted input,False
HIP 85235,no DEBRIS merge in restricted input,False
HIP 85295,no DEBRIS merge in restricted input,False
HIP 86036,no DEBRIS merge in restricted input,False
HIP 86796,no DEBRIS merge in restricted input,False
HIP 88601,no DEBRIS merge in restricted input,False
HIP 88972,no DEBRIS merge in restricted input,False
HIP 171,no DEBRIS merge in restricted input,False
HIP 544,no DEBRIS merge in restricted input,False
HIP 910,no DEBRIS merge in restricted input,False
HIP 2941,no DEBRIS merge in restricted input,False
HIP 3093,no DEBRIS merge in restricted input,False
HIP 3497,no DEBRIS merge in restricted input,False
HIP 3821,no DEBRIS merge in restricted input,False
HIP 3909,no DEBRIS merge in restricted input,False
HIP 4148,no DEBRIS merge in restricted input,False
HIP 7513,no DEBRIS merge in restricted input,False
HIP 7978,no DEBRIS merge in restricted input,False
HIP 8768,no DEBRIS merge in restricted input,False
HIP 10138,no DEBRIS merge in restricted input,False
HIP 10798,no DEBRIS merge in restricted input,False
HIP 11964,no DEBRIS merge in restricted input,False
HIP 12777,no DEBRIS merge in restricted input,False
HIP 13402,no DEBRIS merge in restricted input,False
HIP 14954,no DEBRIS merge in restricted input,False
HIP 15330,no DEBRIS merge in restricted input,False
HIP 35136,no DEBRIS merge in restricted input,False
HIP 38382,no DEBRIS merge in restricted input,False
HIP 38784,no DEBRIS merge in restricted input,False
HIP 40693,no DEBRIS merge in restricted input,False
HIP 42430,no DEBRIS merge in restricted input,False
HIP 42438,no DEBRIS merge in restricted input,False
HIP 43587,no DEBRIS merge in restricted input,False
HIP 43726,no DEBRIS merge in restricted input,False
HIP 44897,no DEBRIS merge in restricted input,False
HIP 45333,no DEBRIS merge in restricted input,False
HIP 45617,no DEBRIS merge in restricted input,False
HIP 46580,no DEBRIS merge in restricted input,False
HIP 47592,no DEBRIS merge in restricted input,False
HIP 49081,no DEBRIS merge in restricted input,False
HIP 49908,no DEBRIS merge in restricted input,False
HIP 51459,no DEBRIS merge in restricted input,False
HIP 51502,no DEBRIS merge in restricted input,False
HIP 53721,no DEBRIS merge in restricted input,False
HIP 54646,no DEBRIS merge in restricted input,False
HIP 56452,no DEBRIS merge in restricted input,False
HIP 57507,no DEBRIS merge in restricted input,False
HIP 57939,no DEBRIS merge in restricted input,False
HIP 58345,no DEBRIS merge in restricted input,False
HIP 62145,no DEBRIS merge in restricted input,False
HIP 62207,no DEBRIS merge in restricted input,False
HIP 62523,no DEBRIS merge in restricted input,False
HIP 64792,no DEBRIS merge in restricted input,False
HIP 64797,no DEBRIS merge in restricted input,False
HIP 65026,no DEBRIS merge in restricted input,False
HIP 65721,no DEBRIS merge in restricted input,False
HIP 67275,no DEBRIS merge in restricted input,False
HIP 67422,no DEBRIS merge in restricted input,False
HIP 67620,no DEBRIS merge in restricted input,False
HIP 68184,no DEBRIS merge in restricted input,False
HIP 68682,no DEBRIS merge in restricted input,False
HIP 69965,no DEBRIS merge in restricted input,False
HIP 70319,no DEBRIS merge in restricted input,False
HIP 70857,no DEBRIS merge in restricted input,False
HIP 71181,no DEBRIS merge in restricted input,False
HIP 71681,no DEBRIS merge in restricted input,False
HIP 71683,no DEBRIS merge in restricted input,False
HIP 15371,no DEBRIS merge in restricted input,False
HIP 15799,no DEBRIS merge in restricted input,False
HIP 16134,no DEBRIS merge in restricted input,False
HIP 17420,no DEBRIS merge in restricted input,False
HIP 17439,no DEBRIS merge in restricted input,False
HIP 19849,no DEBRIS merge in restricted input,False
HIP 19884,no DEBRIS merge in restricted input,False
HIP 22263,no DEBRIS merge in restricted input,False
HIP 23311,no DEBRIS merge in restricted input,False
HIP 25110,no DEBRIS merge in restricted input,False
HIP 27887,no DEBRIS merge in restricted input,False
HIP 28103,no DEBRIS merge in restricted input,False
HIP 29271,no DEBRIS merge in restricted input,False
HIP 29568,no DEBRIS merge in restricted input,False
HIP 32439,no DEBRIS merge in restricted input,False
HIP 32480,no DEBRIS merge in restricted input,False
HIP 33277,no DEBRIS merge in restricted input,False
HIP 34017,no DEBRIS merge in restricted input,False
HIP 34065,no DEBRIS merge in restricted input,False
HIP 89042,no DEBRIS merge in restricted input,False
HIP 91009,no DEBRIS merge in restricted input,False
HIP 92043,no DEBRIS merge in restricted input,False
HIP 95995,no DEBRIS merge in restricted input,False
HIP 96100,no DEBRIS merge in restricted input,False
HIP 96441,no DEBRIS merge in restricted input,False
HIP 97944,no DEBRIS merge in restricted input,False
HIP 98959,no DEBRIS merge in restricted input,False
HIP 99240,no DEBRIS merge in restricted input,False
HIP 99461,no DEBRIS merge in restricted input,False
HIP 101955,no DEBRIS merge in restricted input,False
HIP 101997,no DEBRIS merge in restricted input,False
HIP 103389,no DEBRIS merge in restricted input,False
HIP 104214,no DEBRIS merge in restricted input,False
HIP 104217,no DEBRIS merge in restricted input,False
HIP 105312,no DEBRIS merge in restricted input,False
HIP 106696,no DEBRIS merge in restricted input,False
HIP 107350,no DEBRIS merge in restricted input,False
HIP 107649,no DEBRIS merge in restricted input,False
