canonical_id,survey,source_id,status
HIP 108870,DUNES,108870,DUNES strict
HIP 109422,DUNES,109422,DUNES strict
HIP 110109,DUNES,110109,DUNES strict
HIP 113357,DUNES,113357,DUNES strict
HIP 114948,DUNES,114948,DUNES strict
HIP 116745,DUNES,116745,DUNES strict
HIP 120005,DUNES,120005,DUNES strict
HIP 72567,DUNES,72567,DUNES strict
HIP 72603,DUNES,72603,DUNES strict
HIP 72848,DUNES,72848,DUNES strict
HIP 73100,DUNES,73100,DUNES strict
HIP 73182,DUNES,73182,DUNES strict
HIP 73184,DUNES,73184,DUNES strict
HIP 73996,DUNES,73996,DUNES strict
HIP 77052,DUNES,77052,DUNES strict
HIP 78459,DUNES,78459,DUNES strict
HIP 78775,DUNES,78775,DUNES strict
HIP 79248,DUNES,79248,DUNES strict
HIP 80725,DUNES,80725,DUNES strict
HIP 82860,DUNES,82860,DUNES strict
HIP 83389,DUNES,83389,DUNES strict
HIP 84862,DUNES,84862,DUNES strict
HIP 85235,DUNES,85235,DUNES strict
HIP 85295,DUNES,85295,DUNES strict
HIP 86036,DUNES,86036,DUNES strict
HIP 86796,DUNES,86796,DUNES strict
HIP 88601,DUNES,88601,DUNES strict
HIP 88972,DUNES,88972,DUNES strict
HIP 171,DUNES,171,DUNES strict
HIP 544,DUNES,544,DUNES strict
HIP 910,DUNES,910,DUNES strict
HIP 2941,DUNES,2941,DUNES strict
HIP 3093,DUNES,3093,DUNES strict
HIP 3497,DUNES,3497,DUNES strict
HIP 3821,DUNES,3821,DUNES strict
HIP 3909,DUNES,3909,DUNES strict
HIP 4148,DUNES,4148,DUNES strict
HIP 7513,DUNES,7513,DUNES strict
HIP 7978,DUNES,7978,DUNES strict
HIP 8768,DUNES,8768,DUNES strict
HIP 10138,DUNES,10138,DUNES strict
HIP 10798,DUNES,10798,DUNES strict
HIP 11964,DUNES,11964,DUNES strict
HIP 12777,DUNES,12777,DUNES strict
HIP 13402,DUNES,13402,DUNES strict
HIP 14954,DUNES,14954,DUNES strict
HIP 15330,DUNES,15330,DUNES strict
HIP 35136,DUNES,35136,DUNES strict
HIP 38382,DUNES,38382,DUNES strict
HIP 38784,DUNES,38784,DUNES strict
HIP 40693,DUNES,40693,DUNES strict
HIP 42430,DUNES,42430,DUNES strict
HIP 42438,DUNES,42438,DUNES strict
HIP 43587,DUNES,43587,DUNES strict
HIP 43726,DUNES,43726,DUNES strict
HIP 44897,DUNES,44897,DUNES strict
HIP 45333,DUNES,45333,DUNES strict
HIP 45617,DUNES,45617,DUNES strict
HIP 46580,DUNES,46580,DUNES strict
HIP 47592,DUNES,47592,DUNES strict
HIP 49081,DUNES,49081,DUNES strict
HIP 49908,DUNES,49908,DUNES strict
HIP 51459,DUNES,51459,DUNES strict
HIP 51502,DUNES,51502,DUNES strict
HIP 53721,DUNES,53721,DUNES strict
HIP 54646,DUNES,54646,DUNES strict
HIP 56452,DUNES,56452,DUNES strict
HIP 57507,DUNES,57507,DUNES strict
HIP 57939,DUNES,57939,DUNES strict
HIP 58345,DUNES,58345,DUNES strict
HIP 62145,DUNES,62145,DUNES strict
HIP 62207,DUNES,62207,DUNES strict
HIP 62523,DUNES,62523,DUNES strict
HIP 64792,DUNES,64792,DUNES strict
HIP 64797,DUNES,64797,DUNES strict
HIP 65026,DUNES,65026,DUNES strict
HIP 65721,DUNES,65721,DUNES strict
HIP 67275,DUNES,67275,DUNES strict
HIP 67422,DUNES,67422,DUNES strict
HIP 67620,DUNES,67620,DUNES strict
HIP 68184,DUNES,68184,DUNES strict
HIP 68682,DUNES,68682,DUNES strict
HIP 69965,DUNES,69965,DUNES strict
HIP 70319,DUNES,70319,DUNES strict
HIP 70857,DUNES,70857,DUNES strict
HIP 71181,DUNES,71181,DUNES strict
HIP 71681,DUNES,71681,DUNES strict
HIP 71683,DUNES,71683,DUNES strict
HIP 15371,DUNES,15371,DUNES strict
HIP 15799,DUNES,15799,DUNES strict
HIP 16134,DUNES,16134,DUNES strict
HIP 17420,DUNES,17420,DUNES strict
HIP 17439,DUNES,17439,DUNES strict
HIP 19849,DUNES,19849,DUNES strict
HIP 19884,DUNES,19884,DUNES strict
HIP 22263,DUNES,22263,DUNES strict
HIP 23311,DUNES,23311,DUNES strict
HIP 25110,DUNES,25110,DUNES strict
HIP 27887,DUNES,27887,DUNES strict
HIP 28103,DUNES,28103,DUNES strict
HIP 29271,DUNES,29271,DUNES strict
HIP 29568,DUNES,29568,DUNES strict
HIP 32439,DUNES,32439,DUNES strict
HIP 32480,DUNES,32480,DUNES strict
HIP 33277,DUNES,33277,DUNES strict
HIP 34017,DUNES,34017,DUNES strict
HIP 34065,DUNES,34065,DUNES strict
HIP 89042,DUNES,89042,DUNES strict
HIP 91009,DUNES,91009,DUNES strict
HIP 92043,DUNES,92043,DUNES strict
HIP 95995,DUNES,95995,DUNES strict
HIP 96100,DUNES,96100,DUNES strict
HIP 96441,DUNES,96441,DUNES strict
HIP 97944,DUNES,97944,DUNES strict
HIP 98959,DUNES,98959,DUNES strict
HIP 99240,DUNES,99240,DUNES strict
HIP 99461,DUNES,99461,DUNES strict
HIP 101955,DUNES,101955,DUNES strict
HIP 101997,DUNES,101997,DUNES strict
HIP 103389,DUNES,103389,DUNES strict
HIP 104214,DUNES,104214,DUNES strict
HIP 104217,DUNES,104217,DUNES strict
HIP 105312,DUNES,105312,DUNES strict
HIP 106696,DUNES,106696,DUNES strict
HIP 107350,DUNES,107350,DUNES strict
HIP 107649,DUNES,107649,DUNES strict
