annuli,binning,midpoint,fmax,relative_error
10,linear,arithmetic,4.33437897363002e-06,0.0008224966494796426
10,linear,geometric,4.320802220307262e-06,-0.0023124207722649004
10,log,arithmetic,4.3349377285577825e-06,0.0009515150175598563
10,log,geometric,4.319292567283582e-06,-0.0026610046680032307
20,linear,arithmetic,4.331706982529045e-06,0.00020552503232940111
20,linear,geometric,4.328313333295375e-06,-0.0005780798438148604
20,log,arithmetic,4.331848057532408e-06,0.0002380997190238876
20,log,geometric,4.327932696470792e-06,-0.000665970150457329
50,linear,arithmetic,4.330960217432553e-06,3.309449203081627e-05
50,linear,geometric,4.330417257830292e-06,-9.227668294509161e-05
50,log,arithmetic,4.330982851848446e-06,3.83208538146107e-05
50,log,geometric,4.3303562114287255e-06,-0.00010637249976197527
100,linear,arithmetic,4.330853586710497e-06,8.473104257111785e-06
100,linear,geometric,4.330717847678025e-06,-2.2869489041066338e-05
100,log,arithmetic,4.330859247546409e-06,9.780210065146733e-06
100,log,geometric,4.330702580915759e-06,-2.639463513931517e-05
200,linear,arithmetic,4.330826930986093e-06,2.3182089861073507e-06
200,linear,geometric,4.330792996282241e-06,-5.517426808210324e-06
200,log,arithmetic,4.330828346334602e-06,2.6450176562331507e-06
200,log,geometric,4.330789179269057e-06,-6.398787826156216e-06
500,linear,arithmetic,4.330819467523526e-06,5.948706980341001e-07
500,linear,geometric,4.330814037973342e-06,-6.588304674037815e-07
500,log,arithmetic,4.3308196939855375e-06,6.471615283665244e-07
500,log,geometric,4.330813427236776e-06,-7.998515683116381e-07
1000,linear,arithmetic,4.330818401319586e-06,3.4868066811633014e-07
1000,linear,geometric,4.330817043932127e-06,3.5255396824140917e-08
1000,log,arithmetic,4.330818457935301e-06,3.617534247712939e-07
1000,log,geometric,4.330816891247459e-06,0.0
