parameter,pearson_r,pearson_p,spearman_rho,spearman_p
f,0.0977582240830343,9.721183948320165e-07,0.0916557942489271,4.429019519855433e-06
age_myr,0.06118820303878904,0.0022078469699877536,0.06795675352908057,0.0006736878135089496
mass,,,,
blowout_um,,,,
dc_km,-0.42536277400105615,2.0379815847724562e-110,-0.4126795192127231,2.071188243778318e-103
qd,-0.540719392576296,7.446956560461294e-190,-0.5292217415074787,1.699447954129201e-180
e,0.6954418342173398,0.0,0.6976264038442247,0.0
inc,0.6954418342173398,0.0,0.6976264038442247,0.0
rin,-0.16335885801801053,2.0498989935650757e-16,-0.17556294320642563,9.358435522708128e-19
rout,-0.19480069945762915,8.405907794555636e-23,-0.18308268994721422,2.766216172774501e-20
radius_ring,-0.19282987567908166,2.288120170579467e-22,-0.18280101817616293,3.165032162224357e-20
width,0.14274524633297223,7.475701687131246e-13,0.10459902396784386,1.590871009362021e-07
surface_power,-0.0035021407654757426,0.8610639174032672,-0.009173171643707463,0.6466371894173768
