parameter,label,analysis,unit,p16,median,p84,min,max
f,fractional luminosity,reference,dimensionless,7.065230570208937e-06,8.366356038640208e-06,1.0318853153141367e-05,5.024094451507481e-06,1.3676751257253232e-05
f,fractional luminosity,diagnostic,dimensionless,1.8469218206768983e-06,2.851297343462222e-06,4.2182522881732e-06,5.701067218086857e-07,9.064460584794994e-06
age_myr,stellar age,reference,Myr,6768.586568180518,7628.369818721534,8497.752541379634,4061.763424733044,11256.945876830809
age_myr,stellar age,diagnostic,Myr,6773.301311651659,7626.091212863183,8509.664176895001,4347.056266460039,10751.260341479307
mass,stellar mass,reference,M_sun,0.7710622748358146,0.7829202183661859,0.7949051411119934,0.7276533344572551,0.8346956750240908
mass,stellar mass,diagnostic,M_sun,0.78,0.78,0.78,0.78,0.78
blowout_um,blowout diameter,reference,um,0.9037651775935341,1.201073189471995,1.4996199294892967,0.10022617528971667,2.5525068784757963
blowout_um,blowout diameter,diagnostic,um,20.0,20.0,20.0,20.0,20.0
dc_km,largest body diameter,reference,km,3.355534617557686,44.58335215116271,592.7483268218866,1.0000714929219037,1999.883433207734
dc_km,largest body diameter,diagnostic,km,22.21012727201471,129.08500206160818,784.2730011160515,10.03390783352613,1984.9992007929359
qd,disruption energy,reference,J kg^-1,72.59176026034783,158.65502501569745,345.41602970423645,50.001404344995166,499.99006656835854
qd,disruption energy,diagnostic,J kg^-1,21.60351641246614,104.46935235841144,492.3618996377996,10.000717517983217,999.9461638732043
e,eccentricity,reference,fraction,0.01449289772311102,0.0317675275132405,0.06907022795245095,0.010000019116880912,0.09999935089655229
e,eccentricity,diagnostic,fraction,0.016554321049566584,0.044958235268382246,0.11980151355128117,0.010011279635759021,0.19980024322949
inc,inclination proxy,reference,radian,0.01449289772311102,0.0317675275132405,0.06907022795245095,0.010000019116880912,0.09999935089655229
inc,inclination proxy,diagnostic,radian,0.008277160524783292,0.022479117634191123,0.059900756775640586,0.005005639817879511,0.099900121614745
rin,inner radius,reference,AU,6.0,6.0,6.0,6.0,6.0
rin,inner radius,diagnostic,AU,8.371208626177621,16.187890803138416,18.015,0.7206000000000001,18.015
rout,outer radius,reference,AU,55.0,55.0,55.0,55.0,55.0
rout,outer radius,diagnostic,AU,35.861837412686434,50.711887784024924,59.480723790017464,19.0959,78.04259824262944
radius_ring,characteristic ring radius,reference,AU,37.060109289617486,37.060109289617486,37.060109289617486,37.060109289617486,37.060109289617486
radius_ring,characteristic ring radius,diagnostic,AU,24.66739284843285,36.08601690635625,42.08210028893588,11.972138701077931,53.31183552264656
width,fractional width,reference,dimensionless,1.32217634915954,1.32217634915954,1.32217634915954,1.32217634915954,1.32217634915954
width,fractional width,diagnostic,dimensionless,0.9514943003667939,0.9970613920892606,1.1143812921633671,0.9216394482084647,1.5348385496357095
surface_power,surface-density slope,reference,dimensionless,0.0,0.0,0.0,0.0,0.0
surface_power,surface-density slope,diagnostic,dimensionless,-0.2057263781174595,-0.1213102564487317,-0.03515305884815478,-0.41098678972775493,0.1484300089400819
