Dmin_um,ring_median,broad_median
0.5,0.039934227629957415,0.04917908957802117
1,0.056475526317180155,0.06954973546639887
1.2,0.061865839421792454,0.07618791796692748
2,0.07986845525991483,0.09835817915604234
3,0.09781848096554928,0.12046367548077792
5,0.12628311591029318,0.1555179363199959
10,0.1785912952190702,0.21993557473601352
15,0.2187287728947374,0.2693649671944941
20,0.25256623182058635,0.3110358726399918
30,0.30932919710896234,0.3809395898346374
50,0.39934227629957414,0.4917908957802115
