Dmin_um,ratio_p16,ratio_median,ratio_p84
0.5,0.029011869908511734,0.1483244347887241,0.7730260721305937
1,0.041028979894421176,0.20976242730953734,1.093223955275088
1.2,0.0449449955992008,0.2297832263089426,1.1975668414183689
2,0.05802373981702347,0.2966488695774482,1.5460521442611874
3,0.07106427775985943,0.36331918161909216,1.8935194345878583
5,0.0917435880913979,0.4690430465894838,2.444523078626287
10,0.1297450265396257,0.6633270378236434,3.457077691327326
15,0.15890455584297214,0.812406387629882,4.234038172455417
20,0.1834871761827958,0.9380860931789676,4.889046157252574
30,0.22472497799600402,1.1489161315447132,5.987834207091845
50,0.2901186990851173,1.4832443478872412,7.730260721305938
