Dmin_um,ratio_p16,ratio_median,ratio_p84
0.5,0.02359025090056481,0.12046692434547007,0.6267348348667673
1,0.03336165276336287,0.17036595822673734,0.8863369034802444
1.2,0.03654585954829681,0.18662655670353373,0.9709334311708181
2,0.04718050180112962,0.24093384869094014,1.2534696697335346
3,0.057784077610615124,0.2950824955288661,1.5351805494510553
5,0.07459892342062306,0.3809498636468742,1.9819095671484965
10,0.10549880923987708,0.5387444637535908,2.802843389258394
15,0.12920912555445904,0.6598245189728222,3.4327680663080375
20,0.14919784684124612,0.7618997272937484,3.963819134296993
30,0.18272929774148403,0.9331327835176688,4.854667155854091
50,0.23590250900564808,1.2046692434547008,6.2673483486676735
