rho_g_cm3,Qpr,mdot_solar,Dbl_total_um,beta_wind_over_radiation
0.5,1.0,0,3.0507697204879265,0.0
0.5,1.0,0.1,3.0510012921399547,7.590597562093079e-05
0.5,1.0,0.5,3.0519275787480686,0.000379529878104654
0.5,1.0,1,3.053085437008211,0.000759059756209308
0.5,1.0,2,3.055401153528495,0.001518119512418616
0.5,1.0,5,3.0623483030893484,0.0037952987810465394
0.5,1.0,10,3.0739268856907698,0.007590597562093079
1.0,1.0,0,1.5253848602439632,0.0
1.0,1.0,0.1,1.5255006460699774,7.590597562093079e-05
1.0,1.0,0.5,1.5259637893740343,0.000379529878104654
1.0,1.0,1,1.5265427185041054,0.000759059756209308
1.0,1.0,2,1.5277005767642475,0.001518119512418616
1.0,1.0,5,1.5311741515446742,0.0037952987810465394
1.0,1.0,10,1.5369634428453849,0.007590597562093079
1.5,1.0,0,1.0169232401626422,0.0
1.5,1.0,0.1,1.0170004307133185,7.590597562093079e-05
1.5,1.0,0.5,1.017309192916023,0.000379529878104654
1.5,1.0,1,1.0176951456694037,0.000759059756209308
1.5,1.0,2,1.018467051176165,0.001518119512418616
1.5,1.0,5,1.0207827676964494,0.0037952987810465394
1.5,1.0,10,1.0246422952302567,0.007590597562093079
2.5,1.0,0,0.6101539440975853,0.0
2.5,1.0,0.1,0.610200258427991,7.590597562093079e-05
2.5,1.0,0.5,0.6103855157496137,0.000379529878104654
2.5,1.0,1,0.6106170874016421,0.000759059756209308
2.5,1.0,2,0.611080230705699,0.001518119512418616
2.5,1.0,5,0.6124696606178696,0.0037952987810465394
2.5,1.0,10,0.6147853771381538,0.007590597562093079
3.5,1.0,0,0.43582424578398954,0.0
3.5,1.0,0.1,0.43585732744856504,7.590597562093079e-05
3.5,1.0,0.5,0.43598965410686696,0.000379529878104654
3.5,1.0,1,0.43615506242974444,0.000759059756209308
3.5,1.0,2,0.4364858790754993,0.001518119512418616
3.5,1.0,5,0.43747832901276407,0.0037952987810465394
3.5,1.0,10,0.43913241224153854,0.007590597562093079
