annuli,binning,midpoint,fmax,relative_to_log_geometric_1000
10,linear,arithmetic,3.343079340831629e-05,0.0022721460744759003
10,linear,geometric,3.314231579236139e-05,-0.006376559198718046
10,log,arithmetic,3.3474452680671985e-05,0.0035810732083771946
10,log,geometric,3.302264066477795e-05,-0.009964480235762685
25,linear,arithmetic,3.3367019796471754e-05,0.0003601808385433891
25,linear,geometric,3.332092499765859e-05,-0.0010217646141138514
25,log,arithmetic,3.33741526370594e-05,0.0005740270179046547
25,log,geometric,3.3301545838313735e-05,-0.0016027616424658664
50,linear,arithmetic,3.3358029220753795e-05,9.063881753212932e-05
50,linear,geometric,3.3346507842716104e-05,-0.0002547779409195483
50,log,arithmetic,3.335981798631752e-05,0.000144266916586977
50,log,geometric,3.334165490402501e-05,-0.0004002715048109229
100,linear,arithmetic,3.335578654501538e-05,2.3402261168259386e-05
100,linear,geometric,3.335290634705304e-05,-6.29475348887798e-05
100,log,arithmetic,3.33562340871181e-05,3.681980044922817e-05
100,log,geometric,3.335169260448762e-05,-9.933615274093643e-05
250,linear,arithmetic,3.335515895590711e-05,4.586821321650447e-06
250,linear,geometric,3.3354698130815696e-05,-9.22894869903601e-06
250,log,arithmetic,3.3355230578397245e-05,6.734099910588043e-06
250,log,geometric,3.3354503909268804e-05,-1.5051809204913447e-05
500,linear,arithmetic,3.335506931321792e-05,1.899288023299306e-06
500,linear,geometric,3.335495410718031e-05,-1.554647429014011e-06
500,log,arithmetic,3.3355087219403454e-05,2.4361245496429262e-06
500,log,geometric,3.335490555098172e-05,-3.010386895763162e-06
1000,linear,arithmetic,3.335504690304987e-05,1.2274198164519134e-06
1000,linear,geometric,3.3355018101555175e-05,3.63936394132125e-07
1000,log,arithmetic,3.335505137963123e-05,1.361629996532443e-06
1000,log,geometric,3.335500596245458e-05,0.0
